package_relative_path,source_path,size_bytes,sha256,access_class,notes
paper/final_published_paper.pdf,/Users/dlev2617/Documents/Papers/~05-Published/TEMA/TeMA - Walking Speeds/6088-Article Text-24540-1-10-20191226.pdf,59743107,d9862cff7059a68fb61d213a63e3fa2c75fb988a852de59b1630edab39067196,local_reference_paper,Final published paper reference for validation.
data/source_workbooks/city_road_bridge_source_workbook.xlsx,/Users/dlev2617/Documents/Papers/~05-Published/TEMA/TeMA - Walking Speeds/Walking and Talking - PLOS One/Data/ped-data 2018-07-10.xlsx,88712,5f681ec455ffe582e8f5ca8045016db15527d2165535a7ab3b0533677a8fc9cf,source_data_public_candidate,Source workbook for City Road Bridge observations.
data/source_workbooks/bay_street_source_workbook.xlsx,/Users/dlev2617/Documents/Papers/~05-Published/TEMA/TeMA - Walking Speeds/Walking and Talking - PLOS One/Data/Pedestrain walking speed 4.0.xlsx,1250599,a67126c144662f389a4d67f74e29828501c8d2056cee5140c4e56e1854664728,source_data_public_candidate,Source workbook for Bay Street observations.
data/public_reduced_extracts/city_road_bridge_observations_reduced.csv,generated_by_code/create_reduced_extracts.py,28425,118fd6b08c19b85f9f54ad1608188a60d94dc727455fb6c6c480cd9f3ae2a2b7,public_reduced_extract,Compact extract with 180 observations.
data/public_reduced_extracts/bay_street_observations_reduced.csv,generated_by_code/create_reduced_extracts.py,98083,453ebad1844c9534f51fc67089a2ed10bcca9f195b4fb76e41e75cd3a1f72ad1,public_reduced_extract,Compact extract with 477 observations.
data/public_reduced_extracts/extract_summary.json,generated_by_code/create_reduced_extracts.py,548,71cc5f02bc62868f09da709f91f1efb4d9efedccdd2bcb514ec9cb22a739a1d0,metadata,Extraction row counts and filtering notes.
data/source_workbooks/README.md,created_for_package_review,616,605cce29b6a1c7a5972e50d7cc1b52868c07f48a9beab3d9df05c411bb8bd96c,documentation,Source workbook handling note.
data/public_reduced_extracts/README.md,created_for_package_review,502,1d1612c4aafe3db059f5a2a0bf3c37743c376f82577045457fa11b5ded5fa0de,documentation,Compact extract note.
code/create_reduced_extracts.py,created_for_package_review,7564,32917b1e87383374f36e28bb8cca97774206443c0e97ea084bee9f685e85f3ff,reproducibility_helper,Regenerates compact extracts from source workbooks.
data/DATA_DICTIONARY.csv,created_for_package_review,2758,533affebc49c6c0f0cf8c5e6655a02ba0849160e1479bd9f915f46ee2194269d,documentation,Column-level metadata for compact extracts.
documentation/PUBLIC_EXTRACT_NOTES.md,created_for_package_review,1420,625752b28a35e3fa4da64c730c35902e1d2b44a4351ceb2bc9795e5ec08fb658,documentation,Public extract decisions and source-variable review notes.
EXCLUDED_NONARCHIVAL_MANIFEST.csv,created_for_package_review,542,04eb8b525624788e3dfc11330d615553eb6e166a9721a040bb53fc04e0a7a6ed,documentation,Documents excluded or not staged material.
README.md,created_for_package_review,2636,8ab4668b6caddce8b05d681eb4721f585f7203d83bd98b1f864e2c7f06394140,documentation,Package overview and paper-data match.
